"","true_or_y_scrambled_labels_used","condition","dataset","testset","dataset_readable","method","median_balacc"
"45","1","PHH (24 h, 10 uM)","MCNC","LOCO-CV","DILIrank 
 (-vLessConcern)","RF",0.521022727272727
"46","1","PHH (24 h, 10 uM)","MCNC","LOCO-CV","DILIrank 
 (-vLessConcern)","SVM",0.483424908424908
"47","1","PHH (24 h, 10 uM)","MCNC","External Test Set","DILIrank 
 (-vLessConcern)","RF",0.460416666666666
"48","1","PHH (24 h, 10 uM)","MCNC","External Test Set","DILIrank 
 (-vLessConcern)","SVM",0.44375
"49","1","SKB (24 h, 10 uM)","MCNC","LOCO-CV","DILIrank 
 (-vLessConcern)","RF",0.58459595959596
"50","1","SKB (24 h, 10 uM)","MCNC","LOCO-CV","DILIrank 
 (-vLessConcern)","SVM",0.464285714285714
"51","1","SKB (24 h, 10 uM)","MCNC","External Test Set","DILIrank 
 (-vLessConcern)","RF",0.568452380952381
"52","1","SKB (24 h, 10 uM)","MCNC","External Test Set","DILIrank 
 (-vLessConcern)","SVM",0.3625
"53","1","VCAP (6 h, 10 uM)","MCNC","LOCO-CV","DILIrank 
 (-vLessConcern)","RF",0.577054411106135
"54","1","VCAP (6 h, 10 uM)","MCNC","LOCO-CV","DILIrank 
 (-vLessConcern)","SVM",0.547771672771673
"55","1","VCAP (6 h, 10 uM)","MCNC","External Test Set","DILIrank 
 (-vLessConcern)","RF",0.530050505050505
"56","1","VCAP (6 h, 10 uM)","MCNC","External Test Set","DILIrank 
 (-vLessConcern)","SVM",0.654721549636804
