Uniprot,RF_mcnc,RF_mclcnc,RF_all,SVM_mcnc,SVM_mclcnc,SVM_all
P41586,0.00014548553912223068,0.0002409812495943832,0.00017564548694332365,0.011376303247815408,-0.026966159375632445,0.0075415209878757486
P25963,0.00024008602649769058,0.0004328535290474324,0.0004403518607933027,0.001205637895693441,-0.13366048080855036,-0.030284598899693708
Q16678,0.0007867543461631673,0.0004035884636119481,0.00043329772951339633,0.006163781742400616,-0.10138705260315573,-0.23934724539580698
Q9HCP0,0.0015569188532168585,0.0019459556848535067,0.0008478696233712012,0.09902940984518492,0.07998688225662767,-0.1685268517254479
P00338,0.000751237995672061,0.0011722166509790634,0.0009149737487701619,0.08167787698346549,0.02838388223599228,-0.049507088669025534
Q9Y263,2.7300144061984587e-05,7.377304203684762e-05,0.0002080519007522753,0.01911960461429119,-0.042685591650144634,-0.017114066900179914
P24557,0.0007066808331488898,0.00024233932622405382,0.0003542053036666385,0.4582026194977742,0.333816294160743,-0.023532804686941522
Q15825,0.0013737224064828248,0.0010401518283943108,0.0022994278198748253,0.03425616138897238,0.14244681816897636,-0.06603078533923434
Q07973,0.0003191929218114692,0.000579223709878011,0.0005334545941818521,0.021944951226970155,-0.1500693707335124,0.03073913724005317
P08913,0.0008422657717113888,0.0011811776037192652,0.0015831888135185376,0.04999057225552783,0.1388096744943538,-0.17655205238091387
P16152,0.00033587195124230477,0.0003644738176999474,0.0003019534310580983,-0.03711333865284431,-0.0719967767447625,-0.1581752948070545
P32297,0.0012213248268153304,0.0015084254108428444,0.0014033217207219798,-0.3096430564674662,-0.3397821737027712,-0.3990711230667723
P42263,0.00012831755564377142,0.00018345317123769973,0.0003222477278159981,-0.00658805882074854,-0.018386307434018725,-0.07440605829713731
O43598,0.00013290099308600154,2.26708198887791e-05,0.0002053683112957157,-0.03986975657409047,-0.16343324051450528,-0.07256414003373192
Q9UKI8,0.0003282673027570946,0.00014480136722432664,0.0004158276417533537,-0.15252069547718422,-0.14919040418166896,-0.16826336844359824
Q9HBX9,0.0001651011500154599,6.674760693715454e-05,0.0002385218052318363,0.010385125827508815,-0.012137593190995985,0.023346422081557974
Q92753,0.0007034218484916921,0.0006540264643252844,0.0008975403904810739,0.18368606615287936,0.2822668919748821,0.1875545972956738
P14555,0.0005087309487799866,0.0005634340087901223,0.0005618706681250013,0.08076881560207075,0.07478496425643978,0.11764200115106782
Q8N752,0.00021629916067429417,0.0005362497792830998,0.00039329814614652114,0.002897485270278656,-0.044074660170017765,-0.22842068259421722
P04839,0.00020927363046233528,9.998424933163964e-05,0.000249221709741934,0.05400138017568844,0.029622850947237125,0.023619752547879874
P39086,0.00018145099182944544,0.00029998862191868035,0.0003822319434332712,0.122526278072771,0.25713789434499085,0.3345471729122378
P49862,0.0003941066696868778,0.0006861564736534066,0.0008204968181258375,-0.018022016850223737,-0.007154474283613445,-0.13254324703120535
O43603,0.0007045552890680196,0.00046131071180180363,0.000532453560584321,-0.09118954873840708,-0.06600043530878394,-0.06893184988427857
P09211,0.0002671558396122149,0.00025887424274468587,0.0003386873869351657,-0.017312081812503308,-0.11156601642291948,-0.13112655051479938
Q13510,0.0005298215775632634,0.0007593801584378219,0.0005817325947746189,-0.07970123474982747,-0.01951494620380894,0.017538804197239743
P16118,5.464382343554347e-05,0.00018453449372828965,0.0001683167342875261,0.034762256985871084,0.0376714150349673,-0.00846947426244865
Q9NZ42,0.0008248771290992238,0.0010086349056110488,0.0009866499002914226,0.11173900198896897,0.16604599998248185,0.27949354246620417
P00352,0.00024167007124814048,0.0005038501725783456,0.0006593764112463383,0.08508855549642819,-0.1096767409153124,-0.19360170792185707
Q8IY84,0.00040933582408522073,0.0004016683278067402,0.0005268216865988264,-0.05041169578917104,-0.023095958042547705,0.08526938622209623
P40306,0.0002773488352414117,0.00013586439084637404,0.00020465457187011175,0.03159042925129639,0.047133393350214735,0.08010140547886305
Q14145,0.00048609988173643347,0.0004381369153484385,0.0006850610350963109,0.00904469877497749,0.012728129214256822,0.04116376923923637
P27986,0.0003406245273565132,0.00021320555610086824,0.00026801440946201254,0.11516475550722162,-0.0018898581404721935,0.1711183679447669
Q14416,1.1727912431586984e-05,0.0005033299749157313,0.0007545757158046581,0.037743320309402265,0.06251993289100855,0.25389163234246404
P04054,0.0014841087221753688,0.0005000305096134673,0.000760169373873195,0.6763681946534383,0.32292736838867603,0.6061392289618048
Q9UGJ0,3.518835718127627e-05,0.000267880258852475,0.00041620309023039187,-0.03152592079038382,-0.08128025962900351,-0.22296865391102383
Q9Y572,5.908530676889186e-05,0.0001147076632506633,0.0002062028824684487,0.008416485534015094,0.034965792677293286,0.019158583901211973
P28072,0.00016375997033982805,0.0002523607411159646,0.00019700389849100361,0.0832983760075234,-0.003869656643197187,0.014378259403900806
O94782,0.0005869928871325892,0.0004190442421498372,0.0005164083157686382,0.03883858437474855,0.03775865774161703,0.046855735865302506
P36896,0.00035066701799136635,0.0008046049536571888,0.0008173269246507643,0.15517867067156788,0.05851408167022362,0.2566379365016303
P00749,0.00020044008617121093,0.0002627036379200723,0.0003994241303483276,8.677368727827688e-05,0.11549915346337797,0.08875716287901736
P23467,0.000986024570845184,0.0004725775834340316,0.0004697848873136468,-0.01568420086830819,-0.02605590372461556,-0.03097605055104491
Q9UNI1,0.0006052419597985264,0.0004733890191859802,0.0005613871516049557,-0.16369944915644274,-0.06046825001195704,-0.27136731495797317
Q9UHC3,0.00029466582554455166,0.0003515475094995105,0.0006027369560123634,0.01894922523821005,0.1476253357390178,0.13161542871399146
P08709,0.0001868705676574784,0.0004046151711077055,0.00039555668900808337,-0.01147001883355659,-0.03126165305487689,-0.0684060363029836
P10636,0.0003417152310263358,0.00040000870549996426,0.0006463601857314597,0.02241024129093485,0.10712169595739944,-0.053733963741847246
