,Unnamed: 0,PPV,Source,odds_ratio,p_value,perc_hits,type,BH_Adjusted_p_value,Number_Drugbank_Approved,Example_Drugbank_Approved
23,N(-N)=C,1.0,3,inf,0.014883942775598891,2.8735632183908044,ACTIVE,0.15776979342134825,12,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=NNC(=O)C(O)(c5ccccc5)c5ccccc5)CC[C@]4(C)[C@H]3CC[C@]12C
24,N(-c1:c(:c:c:c:c:1)-C-C(-O)=O)-C,0.0,3,,1.0,0.0,ACTIVE,1.0,0,
25,Cl-c1:c:c(:c:c:c:1)-C-C,0.6666666666666666,3,2.6666666666666665,0.13935745363147334,3.4482758620689653,ACTIVE,0.2942728238573546,23,C=CCOc1ccc(CC(=O)O)cc1Cl
26,Cl-c1:c:c:c(:c:c:1)-C=O,1.0,3,inf,0.18766832917695445,1.1494252873563218,ACTIVE,0.2942728238573546,12,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
27,N-c1:c(:c:c:c:c:1)-C=O,1.0,3,inf,0.08089963062270986,1.7241379310344829,ACTIVE,0.2858453615335748,27,CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O
28,s1:c(:n:c(:c:1)-C)-c1:c:c:c:c:c:1,1.0,3,inf,0.18766832917695445,1.1494252873563218,ACTIVE,0.2942728238573546,1,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O
29,Cl-c1:c(:c:c:c:c:1)-O-C,1.0,3,inf,0.03475838401124628,2.2988505747126435,ACTIVE,0.2423939937626385,9,C=CCOc1ccc(CC(=O)O)cc1Cl
30,N-C-C-C(-O)-C-C-C,0.15789473684210525,3,0.23135964912280704,0.9980775175859014,1.7241379310344829,ACTIVE,1.0,74,CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1
31,Cl-c1:c(:c:c:c(:c:1)-C-C)-O-C-C,1.0,3,inf,0.4339152119699313,0.5747126436781609,ACTIVE,0.5398475641879429,2,C=CCOc1ccc(CC(=O)O)cc1Cl
32,N(-C(-C)=O)-C-c1:c:c:c:c:c:1,1.0,3,inf,0.006351985679484425,3.4482758620689653,ACTIVE,0.09901624735666902,28,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1
33,N-C(-c1:c:c:c(:c:c:1)-C)=O,1.0,3,inf,0.18766832917695445,1.1494252873563218,ACTIVE,0.2942728238573546,14,CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC
34,N(-N)-C-C,1.0,3,inf,0.0011450961268623461,4.597701149425287,ACTIVE,0.02758640669259288,26,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=NNC(=O)C(O)(c5ccccc5)c5ccccc5)CC[C@]4(C)[C@H]3CC[C@]12C
35,O1-C(-C-C(-C(-C-1-C)-O)(-O-C)-C)-O-C,1.0,3,inf,0.18766832917695445,1.1494252873563218,ACTIVE,0.2942728238573546,4,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
36,N(-C-c1:c2:c(:c:c:c:1):c:c:c:c:2)(-C-C)-C,1.0,3,inf,0.18766832917695445,1.1494252873563218,ACTIVE,0.2942728238573546,2,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12
37,S(-N)(-c1:c(:c:c:c:c:1)-C)(=O)=O,1.0,3,inf,0.18766832917695445,1.1494252873563218,ACTIVE,0.2942728238573546,7,Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2
38,n1(:c(:c(:c:c:1)-C)-C)-C-C,1.0,3,inf,0.18766832917695445,1.1494252873563218,ACTIVE,0.2942728238573546,1,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
39,N-C-C-O-c1:c(:c:c:c:c:1)-C,1.0,3,inf,0.18766832917695445,1.1494252873563218,ACTIVE,0.2942728238573546,5,CN(C)CCOc1ccccc1Cc1ccccc1
40,O(-C-C(-O)=O)-C,1.0,3,inf,0.4339152119699313,0.5747126436781609,ACTIVE,0.5398475641879429,11,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
41,n1(:c:c(:c:c:1)-C-c1:c:c:c:c:c:1)-C,1.0,3,inf,0.18766832917695445,1.1494252873563218,ACTIVE,0.2942728238573546,1,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
