"","Symbol","Uniprot","entrez"
"827","NAALAD2","Q9Y3Q0",10003
"828","DYRK1B","Q9Y463",9149
"829","L3MBTL1","Q9Y468",26013
"830","DAGLA","Q9Y4D2",747
"831","MAP4K5","Q9Y4K4",11183
"832","ATG4B","Q9Y4P1",23192
"833","RIPK3","Q9Y572",11035
"834","HRH3","Q9Y5N1",11255
"835","NR2E3","Q9Y5X4",10002
"836","LIPG","Q9Y5X9",9388
"837","STK24","Q9Y6E0",8428
"838","PARP3","Q9Y6F1",10039
"839","IKBKG","Q9Y6K9",8517
"840","SLCO1B1","Q9Y6L6",10599
"841","HTR3E","A5X5Y0",285242
"842","SGK1","O00141",6446
"843","PSMD11","O00231",5717
"844","BMPR1B","O00238",658
"845","CBX4","O00257",8535
"846","CDC7","O00311",8317
"847","PIK3CD","O00329",5293
"848","CCRL2","O00421",9034
"849","PIK3C2A","O00443",5286
"850","PIK3R2","O00459",5296
"851","STK25","O00506",10494
"852","PIK3C2B","O00750",5287
"853","ACACB","O00763",32
"854","SCD","O00767",6319
"855","CDK2AP1","O14519",8099
"856","CIT","O14578",11113
"857","KCNK3","O14649",3777
"858","ADAM10","O14672",102
"859","PTGES","O14684",9536
"860","PRMT5","O14744",10419
"861","TERT","O14746",7015
"862","NRP1","O14786",8829
"863","PSMA7","O14818",5688
"864","IKBKB","O14920",3551
"865","AURKA","O14965",6790
"866","GAK","O14976",2580
"867","XPO1","O14980",7514
"868","KDM6B","O15054",23135
"869","PER2","O15055",8864
"870","CHUK","O15111",1147
"871","AGPAT2","O15120",10555
"872","MUSK","O15146",4593
"873","TRIM24","O15164",8805
"874","KMO","O15229",8564
"875","SLC22A1","O15245",6580
"876","MAPK13","O15264",5603
"877","FFAR2","O15552",2867
"878","MLNR","O43193",2862
"879","PSMD3","O43242",5709
"880","MAP3K7","O43318",6885
"881","RIPK2","O43353",8767
"882","CACNA1G","O43497",8913
"883","KCNQ3","O43525",3786
"884","KCNQ2","O43526",3785
"885","HCRTR1","O43613",3061
"886","PRKAB2","O43741",5565
"887","DYRK3","O43781",8444
"888","SLC37A4","O43826",2542
"889","PDE6D","O43924",5147
"890","TMPRSS11D","O60235",9407
"891","PLIN1","O60240",5346
"892","NUAK1","O60285",9891
"893","KDM1A","O60341",23028
"894","JAK2","O60674",3717
"895","PRMT3","O60678",10196
"896","ABCC9","O60706",10060
"897","GALR3","O60755",8484
"898","HPGDS","O60760",27306
"899","CACNA1F","O60840",778
"900","BRD4","O60885",23476
"901","MITF","O75030",4286
"902","PTP4A3","O75365",11156
"903","NCOR1","O75376",9611
"904","ULK1","O75385",8408
"905","NR1I2","O75469",8856
"906","EED","O75530",8726
"907","RPS6KA5","O75582",9252
"908","STK16","O75716",8576
"909","PIK3C2G","O75747",5288
"910","SLC22A3","O75751",6581
"911","IDH1","O75874",3417
"912","PDE5A","O76074",8654
"913","STK17B","O94768",9262
"914","STK10","O94804",6793
"915","CDK14","O94921",5218
"916","INMT","O95050",11185
"917","S1PR2","O95136",9294
"918","PDE8B","O95263",8622
"919","HTR3B","O95264",9177
"920","ABCB11","O95342",8647
"921","SGPL1","O95470",8879
"922","POLR1A","O95602",25885
"923","ADCY5","O95622",111
"924","MLYCD","O95822",23417
"925","LATS1","O95835",9113
"926","CBX7","O95931",23492
"927","S1PR4","O95977",8698
"928","PAK4","O96013",10298
"929","F13A1","P00488",2162
"930","PNP","P00491",4860
"931","PGK1","P00558",5230
"932","F2","P00734",2147
"933","F9","P00740",2158
"934","F10","P00742",2159
"935","CFD","P00746",1675
"936","F12","P00748",2161
"937","REN","P00797",5972
"938","HRAS","P01112",3265
"939","PDGFB","P01127",5155
"940","GCG","P01275",2641
"941","TTR","P02766",7276
"942","ESR1","P03372",2099
"943","KLKB1","P03952",3818
"944","HMGCR","P04035",3156
"945","RAF1","P04049",5894
"946","GBA","P04062",2629
"947","FUCA1","P04066",2517
"948","PROC","P04070",5624
"949","CD74","P04233",972
"950","TUBB4A","P04350",10382
"951","GAPDH","P04406",2597
"952","NTRK1","P04629",4914
"953","CYP1A1","P04798",1543
"954","TYMS","P04818",7298
"955","ATP1A1","P05023",476
"956","APP","P05067",351
"957","ALDH2","P05091",217
"958","PRKCG","P05129",5582
"959","CYP1A2","P05177",1544
"960","ALPL","P05186",249
"961","ICAM1","P05362",3383
"962","FABP3","P05413",2170
"963","ITGB1","P05556",3688
"964","PRKCB","P05771",5579
"965","HPN","P05981",3249
"966","INSR","P06213",3643
"967","BCHE","P06276",590
"968","EIF4E","P06730",1977
"969","FCER2","P06734",2208
"970","PYGL","P06737",5836
"971","POLB","P06746",5423
"972","HEXA","P06865",3073
"973","KLK1","P06870",3816
"974","CALCA","P06881",796
"975","P4HB","P07237",5034
"976","CTSD","P07339",1509
"977","ANXA2","P07355",302
"978","CAPN1","P07384",823
"979","TUBB","P07437",203068
"980","CA3","P07451",761
"981","PRSS1","P07477",5644
"982","ADRB2","P07550",154
"983","HEXB","P07686",3074
"984","CTSL","P07711",1514
"985","CTSB","P07858",1508
"986","YES1","P07947",7525
"987","RET","P07949",5979
"988","IGF1R","P08069",3480
"989","CHRM2","P08172",1129
"990","ABCB1","P08183",5243
"991","MMP2","P08253",4313
"992","GSTA1","P08263",2938
"993","CTSG","P08311",1511
"994","MME","P08473",4311
"995","ITGA2B","P08514",3674
"996","PTPRC","P08575",5788
"997","MET","P08581",4233
"998","ADRB1","P08588",153
"999","CYP3A4","P08684",1576
"1000","CYP21A2","P08686",1589
"1001","STS","P08842",412
"1002","MMP7","P09237",4316
"1003","MMP10","P09238",4319
"1004","QDPR","P09417",5860
"1005","FGR","P09769",2268
"1006","ALPI","P09923",248
"1007","FURIN","P09958",5045
"1008","LTA4H","P09960",4048
"1009","PGA5","P0DJD9",5222
"1010","ADORA3","P0DMS8",140
"1011","HSPA1A","P0DMV8",3303
"1012","CXCL8","P10145",3576
"1013","GAA","P10253",2548
"1014","AR","P10275",367
"1015","ACR","P10323",49
"1016","BCL2","P10415",596
"1017","PTPRF","P10586",5792
"1018","CYP2C8","P10632",1558
"1019","RARB","P10826",5915
"1020","SLC2A1","P11166",6513
"1021","PYGM","P11217",5837
"1022","CHRNB1","P11230",1140
"1023","TOP1","P11387",7150
"1024","TOP2A","P11388",7153
"1025","G6PD","P11413",2539
"1026","VDR","P11473",7421
"1027","ESRRA","P11474",2101
"1028","CYP2A6","P11509",1548
"1029","CETP","P11597",1071
"1030","ADH5","P11766",128
"1031","CDK4","P11802",1019
"1032","PABPC1","P11940",26986
"1033","PCNA","P12004",5111
"1034","ACE","P12821",1636
"1035","SRC","P12931",6714
"1036","CCL5","P13501",6352
"1037","CFTR","P13569",1080
"1038","F3","P13726",2152
"1039","GYS1","P13807",2997
"1040","SLC5A1","P13866",6523
"1041","HSD3B1","P14060",3283
"1042","MIF","P14174",4282
"1043","FDPS","P14324",2224
"1044","PKM","P14618",5315
"1045","HSP90B1","P14625",7184
"1046","CCNB1","P14635",891
"1047","MMP9","P14780",4318
"1048","GABRA1","P14867",2554
"1049","IDO1","P14902",3620
"1050","AKR1B1","P15121",231
"1051","CPN1","P15169",1369
"1052","FOLR1","P15328",2348
"1053","KCNE1","P15382",3753
"1054","HPGD","P15428",3248
"1055","CYP11B1","P15538",1584
"1056","ALOX15","P16050",246
"1057","DPEP1","P16444",1800
"1058","PDE6A","P16499",5145
"1059","SELE","P16581",6401
"1060","UGT2B7","P16662",7364
"1061","PLCG2","P16885",5336
"1062","ITGA2","P17301",3673
"1063","CTRB1","P17538",1504
"1064","PRKACA","P17612",5566
"1065","CAPN2","P17655",824
"1066","AMD1","P17707",262
"1067","TPH1","P17752",7166
"1068","XBP1","P17861",7494
"1069","LGALS3","P17931",3958
"1070","IGFBP3","P17936",3486
"1071","FLT1","P17948",2321
"1072","PTPN1","P18031",5770
"1073","ITGB5","P18084",3693
"1074","PTPRA","P18433",5786
"1075","NAT1","P18440",9
"1076","GABRB1","P18505",2560
"1077","PDE6G","P18545",5148
"1078","ITGB6","P18564",3694
"1079","ADRA2C","P18825",152
"1080","CYP11B2","P19099",1585
"1081","PLCG1","P19174",5335
"1082","VCAM1","P19320",7412
"1083","HK1","P19367",3098
"1084","EIF2AK2","P19525",5610
"1085","SLC9A1","P19634",6548
"1086","RXRA","P19793",6256
"1087","NFKB1","P19838",4790
"1088","CD22","P20273",933
"1089","CHRM3","P20309",1131
"1090","NR1D1","P20393",9572
"1091","ITGAL","P20701",3683
"1092","IMPDH1","P20839",3614
"1093","MAG","P20916",4099
"1094","CDK11B","P21127",984
"1095","NT5E","P21589",4907
"1096","EPHA1","P21709",2041
"1097","C5AR1","P21730",728
"1098","FGFR2","P21802",2263
"1099","ERBB3","P21860",2065
"1100","DRD4","P21917",1815
"1101","DRD5","P21918",1816
"1102","COMT","P21964",1312
"1103","TGM2","P21980",7052
"1104","KCNA3","P22001",3738
"1105","GART","P22102",2618
"1106","KCNA5","P22460",3741
"1107","PRKACB","P22694",5567
"1108","TGM1","P22735",7051
"1109","NR4A1","P22736",3164
"1110","CA4","P22748",762
"1111","LHCGR","P22888",3973
"1112","CA6","P23280",765
"1113","PTPRG","P23470",5793
"1114","AHCY","P23526",191
"1115","CPT2","P23786",1376
"1116","FSHR","P23945",2492
"1117","GABRR1","P24046",2569
"1118","PRTN3","P24158",5657
"1119","CCND1","P24385",595
"1120","EDNRB","P24530",1910
"1121","PRKCH","P24723",5583
"1122","CXCR1","P25024",3577
"1123","FPR2","P25090",2358
"1124","GRK2","P25098",156
"1125","ADRA1D","P25100",146
"1126","TACR1","P25103",6869
"1127","PTAFR","P25105",5724
"1128","F2R","P25116",2149
"1129","ITGB7","P26010",3695
"1130","DNMT1","P26358",1786
"1131","TARS","P26639",6897
"1132","MAOB","P27338",4129
"1133","MAPK3","P27361",5595
"1134","DPP4","P27487",1803
"1135","ARNT","P27540",405
"1136","APEX1","P27695",328
"1137","DCK","P27707",1633
"1138","PSMB8","P28062",5696
"1139","PSMA5","P28066",5686
"1140","PSMB4","P28070",5692
"1141","GSTM2","P28161",2946
"1142","CHAT","P28329",1103
"1143","NMBR","P28336",4829
"1144","GABRB3","P28472",2562
"1145","MAPK1","P28482",5594
"1146","RXRB","P28702",6257
"1147","ERCC5","P28715",2073
"1148","ERCC5","P28715",100533467
"1149","LAP3","P28838",51056
"1150","ADORA2A","P29274",135
"1151","ADORA2B","P29275",136
"1152","EPHA3","P29320",2042
"1153","EPHA8","P29322",2046
"1154","EPHB2","P29323",2048
"1155","TACR3","P29371",6870
"1156","KDM5A","P29375",5927
"1157","LTK","P29376",4058
"1158","TKT","P29401",7086
"1159","CASP1","P29466",834
"1160","NOS3","P29474",4846
"1161","NOS1","P29475",4842
"1162","CCND2","P30279",894
"1163","WEE1","P30291",7465
"1164","CDC25A","P30304",993
"1165","CDC25C","P30307",995
"1166","AVPR2","P30518",554
"1167","AXL","P30530",558
"1168","SLC6A1","P30531",6529
"1169","CHRNA5","P30532",1138
"1170","GRPR","P30550",2925
"1171","AGTR1","P30556",185
"1172","PKLR","P30613",5313
"1173","ALDH3A1","P30838",218
"1174","SSTR1","P30872",6751
"1175","SSTR2","P30874",6752
"1176","HTR1F","P30939",3355
"1177","SRD5A2","P31213",6716
"1178","RRM2","P31350",6241
"1179","GABRA5","P31644",2558
"1180","AKT1","P31749",207
"1181","AKT2","P31751",208
"1182","ATIC","P31939",471
"1183","APOBEC3A","P31941",200315
"1184","APOBEC3A","P31941",100913187
"1185","CCKAR","P32238",886
"1186","MC4R","P32245",4160
"1187","CCR1","P32246",1230
"1188","BRS3","P32247",680
"1189","CXCR5","P32302",643
"1190","SSTR3","P32745",6753
"1191","HPD","P32754",3242
"1192","KIF5B","P33176",3799
"1193","GUCY1A2","P33402",2977
"1194","ABCC1","P33527",4363
"1195","TTK","P33981",7272
"1196","EPHX2","P34913",2053
"1197","HTR7","P34969",3363
"1198","CNR2","P34972",1269
"1199","PTPN7","P35236",5778
"1200","HRH1","P35367",3269
"1201","ADRA1B","P35368",147
"1202","RORA","P35398",6095
"1203","PTGER4","P35408",5734
"1204","DRD3","P35462",1814
"1205","SCN1A","P35498",6323
"1206","SCN4A","P35499",6329
"1207","G6PC","P35575",2538
"1208","TIE1","P35590",7075
"1209","CHKA","P35790",1119
"1210","PDE6B","P35913",5158
"1211","FLT4","P35916",2324
"1212","KDR","P35968",3791
"1213","PSMC2","P35998",5701
"1214","MAP2K2","P36507",5605
"1215","PPP1CC","P36873",5501
"1216","BMPR1A","P36894",657
"1217","ACVRL1","P37023",94
"1218","TGFBR2","P37173",7048
"1219","PPARG","P37231",5468
"1220","FDFT1","P37268",2222
"1221","SNCA","P37840",6622
"1222","LIPA","P38571",3988
"1223","FEN1","P39748",2237
"1224","PLA2G5","P39877",5322
"1225","MMP12","P39900",4321
"1226","MPL","P40238",4352
"1227","STAT3","P40763",6774
"1228","OPRD1","P41143",4985
"1229","OPRK1","P41145",4986
"1230","OPRL1","P41146",4987
"1231","CASR","P41180",846
"1232","KDM5C","P41229",8242
"1233","P2RY2","P41231",5029
"1234","HNF4A","P41235",3172
"1235","IARS","P41252",3376
"1236","SLC19A1","P41440",6573
"1237","VIPR2","P41587",7434
"1238","GRM5","P41594",2915
"1239","PRKCI","P41743",5584
"1240","MC3R","P41968",4159
"1241","GRIA1","P42261",2890
"1242","GRIA2","P42262",2891
"1243","PIK3CA","P42336",5290
"1244","PIK3CB","P42338",5291
"1245","TXK","P42681",7294
"1246","ABL2","P42684",27
"1247","FRK","P42685",2444
"1248","PRCP","P42785",5547
"1249","HTT","P42858",3064
"1250","SLC1A3","P43003",6507
"1251","SLC1A2","P43004",6506
"1252","SLC1A1","P43005",6505
"1253","PTGER2","P43116",5732
"1254","CA7","P43166",766
"1255","GLP1R","P43220",2740
"1256","RAD52","P43351",5893
"1257","NR4A2","P43354",4929
"1258","PTPN9","P43378",5780
"1259","CHRNA4","P43681",1137
"1260","PSMC4","P43686",5704
"1261","MMP13","P45452",4322
"1262","MAP2K4","P45985",6416
"1263","GPR4","P46093",2828
"1264","HTR3A","P46098",3359
"1265","GABRB2","P47870",2561
"1266","GCGR","P47871",2642
"1267","P2RY1","P47900",5028
"1268","LGALS7","P47929",3963
"1269","LGALS7","P47929",653499
"1270","LGALS7B","P47929",3963
"1271","LGALS7B","P47929",653499
"1272","XDH","P47989",7498
"1273","GRIA4","P48058",2893
"1274","SLC6A9","P48067",6536
"1275","NPBWR1","P48145",2831
"1276","RXRG","P48443",6258
"1277","LSS","P48449",4047
"1278","KCNJ5","P48544",3762
"1279","KCNJ3","P48549",3760
"1280","PSMD8","P48556",5714
"1281","CSNK1A1","P48729",1452
"1282","TDO2","P48775",6999
"1283","HCAR3","P49019",8843
"1284","CX3CR1","P49238",1524
"1285","SLC11A2","P49281",4891
"1286","MTNR1B","P49286",4544
"1287","FASN","P49327",2194
"1288","FNTB","P49356",2342
"1289","FNTB","P49356",100529261
"1290","CSNK1E","P49674",1454
"1291","PSMB3","P49720",5691
"1292","CLK3","P49761",1198
"1293","PSEN1","P49768",5663
"1294","PSEN2","P49810",5664
"1295","GSK3A","P49840",2931
"1296","GSK3B","P49841",2932
"1297","KHK","P50053",3795
"1298","MMP14","P50281",4323
"1299","NPY4R","P50391",5540
"1300","CPT1A","P50416",1374
"1301","METAP2","P50579",10988
"1302","CDK7","P50613",1022
"1303","PDE6C","P51160",5146
"1304","BLK","P51451",640
"1305","DUSP3","P51452",1845
"1306","MMP16","P51512",4325
"1307","GALK1","P51570",2584
"1308","P2RX1","P51575",5023
"1309","P2RY4","P51582",5030
"1310","CCR3","P51677",1232
"1311","CCR9","P51686",10803
"1312","STAT5B","P51692",6777
"1313","KCNQ1","P51787",3784
"1314","NR0B1","P51843",190
"1315","CCNH","P51946",902
"1316","NEK2","P51955",4751
"1317","JAK3","P52333",3718
"1318","MAP2K6","P52564",5608
"1319","KIF11","P52732",3832
"1320","HK2","P52789",3099
"1321","PLK1","P53350",5347
"1322","ACLY","P53396",47
"1323","METAP1","P53582",23173
"1324","PGGT1B","P53609",5229
"1325","CTSC","P53634",1075
"1326","LIMK1","P53667",3984
"1327","SLC16A1","P53985",6566
"1328","BLM","P54132",641
"1329","PRKAA2","P54646",5563
"1330","BCAT1","P54687",586
"1331","ATP12A","P54707",479
"1332","EPHB4","P54760",2050
"1333","SLC12A2","P55011",6558
"1334","PSMD4","P55036",5710
"1335","NR1H2","P55055",7376
"1336","CASP7","P55210",840
"1337","CASP9","P55211",842
"1338","CASP6","P55212",839
"1339","MARS","P56192",4141
"1340","P2RX3","P56373",5024
"1341","WNT3","P56703",7473
"1342","WNT3","P56703",101929777
"1343","WNT3A","P56704",89780
"1344","BACE1","P56817",23621
"1345","HUNK","P57058",30811
"1346","RGS8","P57771",85397
"1347","IL2","P60568",3558
"1348","SEM1","P60896",7979
"1349","UBE2N","P61088",7334
"1350","RHOA","P61586",387
"1351","WDR5","P61964",11091
"1352","PPP1CA","P62136",5499
"1353","PSMC6","P62333",5706
"1354","ESRRG","P62508",2104
"1355","GRB2","P62993",2885
"1356","TUBA1B","P68363",10376
"1357","DLG4","P78352",1742
"1358","CSNK1G2","P78368",1455
"1359","ADAM17","P78536",6868
"1360","HLA-DRB3","P79483",3125
"1361","MAP3K9","P80192",4293
"1362","HSD11B2","P80365",3291
"1363","TMPRSS15","P98073",5651
"1364","CDK6","Q00534",1021
"1365","HSF1","Q00613",3297
"1366","NFKB2","Q00653",4791
"1367","PDE1B","Q01064",5153
"1368","AMPD2","Q01433",271
"1369","MC1R","Q01726",4157
"1370","SLC6A3","Q01959",6531
"1371","GUCY1B1","Q02153",2983
"1372","MAP2K1","Q02750",5604
"1373","MAP3K10","Q02779",4294
"1374","FKBP4","Q02790",2288
"1375","KMT2A","Q03164",4297
"1376","PLAUR","Q03405",5329
"1377","HGFAC","Q04756",3083
"1378","GLO1","Q04760",2739
"1379","ACVR1","Q04771",90
"1380","MST1R","Q04912",4486
"1381","PTK2","Q05397",5747
"1382","GRIN1","Q05586",2902
"1383","PRKCD","Q05655",5580
"1384","CHRNB3","Q05901",1142
"1385","FPGS","Q05932",2356
"1386","TYRO3","Q06418",7301
"1387","RAD51","Q06609",5888
"1388","CHRND","Q07001",1144
"1389","CDK18","Q07002",5129
"1390","PDE4B","Q07343",5142
"1391","BCL2L1","Q07817",598
"1392","MCL1","Q07820",4170
"1393","PPARA","Q07869",5465
"1394","DDR1","Q08345",780
"1395","PDE4C","Q08493",5143
"1396","ITK","Q08881",3702
"1397","MGAT3","Q09327",4248
"1398","EP300","Q09472",2033
"1399","MGAT2","Q10469",4247
"1400","KCNMA1","Q12791",3778
"1401","KCNH2","Q12809",3757
"1402","MAP3K12","Q12852",7786
"1403","MERTK","Q12866",10461
"1404","FAP","Q12884",2191
"1405","SLC10A2","Q12908",6555
"1406","GRIK2","Q13002",2898
"1407","STK4","Q13043",6789
"1408","ACACA","Q13085",31
"1409","PLA2G7","Q13093",7941
"1410","MTAP","Q13126",4507
"1411","PRKAA1","Q13131",5562
"1412","NR1H3","Q13133",10062
"1413","PAK1","Q13153",5058
"1414","MAP2K5","Q13163",5607
"1415","MAPK7","Q13164",5598
"1416","PSMD2","Q13200",5708
"1417","GPR17","Q13304",2840
"1418","ATM","Q13315",472
"1419","ILK","Q13418",3611
"1420","BIRC2","Q13490",329
"1421","TUBB3","Q13509",10381
"1422","PIN1","Q13526",5300
"1423","ATR","Q13535",545
"1424","RIPK1","Q13546",8737
"1425","CAMK2B","Q13554",816
"1426","CAMK2D","Q13557",817
"1427","NAE1","Q13564",8883
"1428","DYRK1A","Q13627",1859
"1429","ACVR2B","Q13705",93
"1430","ENPP2","Q13822",5168
"1431","TUBB2A","Q13885",7280
"1432","CACNA1C","Q13936",775
"1433","CDK13","Q14004",8621
"1434","GCKR","Q14397",2646
"1435","PDE3A","Q14432",5139
"1436","MBTPS1","Q14703",8720
"1437","NR1I3","Q14994",9970
"1438","KARS","Q15046",3735
"1439","EIF4H","Q15056",7458
"1440","P2RY6","Q15077",5031
"1441","AGER","Q15109",177
"1442","PDK1","Q15118",5163
"1443","PDK2","Q15119",5164
"1444","PLEC","Q15149",5339
"1445","RPS6KA2","Q15349",6196
"1446","P2RY14","Q15391",9934
"1447","RPS6KA1","Q15418",6195
"1448","TESK1","Q15569",7016
"1449","NCOA2","Q15596",10499
"1450","LTB4R","Q15722",1241
"1451","MYLK","Q15746",4638
"1452","TAB1","Q15750",10454
"1453","MAPK11","Q15759",5600
"1454","CHRNA2","Q15822",1135
"1455","STK11","Q15831",6794
"1456","EZH2","Q15910",2146
"1457","PKN2","Q16513",5586
"1458","MAPK14","Q16539",1432
"1459","BCL2A1","Q16548",597
"1460","C3AR1","Q16581",719
"1461","MAP3K11","Q16584",4296
"1462","NTRK2","Q16620",4915
"1463","PRSS8","Q16651",5652
"1464","PDK4","Q16654",5166
"1465","MAPK6","Q16659",5597
"1466","HIF1A","Q16665",3091
"1467","UGCG","Q16739",7357
"1468","QPCT","Q16769",25797
"1469","PHKG1","Q16816",5260
"1470","CYP51A1","Q16850",1595
"1471","AOC3","Q16853",8639
"1472","LTC4S","Q16873",4056
"1473","PFKFB3","Q16875",5209
"1474","MPEG1","Q2M385",219972
"1475","MMEL1","Q495T6",79258
"1476","SBK1","Q52WX2",388228
"1477","PDCD4","Q53EL6",27250
"1478","PARP10","Q53GL7",84875
"1479","MAP3K19","Q56UN5",80122
"1480","TNNI3K","Q59H18",51086
"1481","FFAR4","Q5NUL3",338557
"1482","LRRK2","Q5S007",120892
"1483","CDC42BPG","Q6DT37",55561
"1484","GPR139","Q6DWJ6",124274
"1485","ERAP2","Q6P179",64167
"1486","SLC27A4","Q6P1M0",10999
"1487","TUBA3E","Q6PEY2",112714
"1488","ULK3","Q6PHR2",25989
"1489","NPSR1","Q6W5P4",387129
"1490","DSTYK","Q6XUX3",25778
"1491","PHLPP2","Q6ZVD8",23035
"1492","HTR3D","Q70Z44",200909
"1493","MARK2","Q7KZI7",2011
"1494","TRPM8","Q7Z2W7",79054
"1495","GPR142","Q7Z601",350383
"1496","PBRM1","Q86U86",55193
"1497","TLK2","Q86UE8",11011
"1498","PIM3","Q86V86",415116
"1499","SLC47A2","Q86VL8",146802
"1500","HIPK1","Q86Z02",204851
"1501","CAMK1D","Q8IU85",57118
"1502","RASGRP3","Q8IV61",25780
"1503","MAPKAPK5","Q8IW41",8550
"1504","SIRT2","Q8IXJ6",22933
"1505","ULK2","Q8IYT8",9706
"1506","SFRP1","Q8N474",6422
"1507","MINK1","Q8N4C8",50488
"1508","DCLK2","Q8N568",166614
"1509","CAMKK1","Q8N5S9",84254
"1510","PCSK9","Q8NBP7",255738
"1511","HIPK4","Q8NE63",147746
"1512","TRPV3","Q8NET8",162514
"1513","MYO3A","Q8NEV4",53904
"1514","ANKK1","Q8NFD2",255239
"1515","TTL","Q8NG68",150465
"1516","SLC22A8","Q8TCC7",9376
"1517","MAPK15","Q8TD08",225689
"1518","BRSK1","Q8TDC3",84446
"1519","STK35","Q8TDR2",140901
"1520","HCAR2","Q8TDS4",338442
"1521","GPBAR1","Q8TDU6",151306
"1522","HASPIN","Q8TF76",83903
"1523","GRK7","Q8WTQ7",131890
"1524","APH1B","Q8WW43",83464
"1525","HTR3C","Q8WXA8",170572
"1526","RAPGEF4","Q8WZA2",11069
"1527","CPT1B","Q92523",1375
"1528","PIK3R3","Q92569",8503
"1529","DYRK2","Q92630",8445
"1530","LPAR1","Q92633",1902
"1531","RYR2","Q92736",6262
"1532","CREBBP","Q92793",1387
"1533","EZH1","Q92800",2145
"1534","KAT2B","Q92831",8850
"1535","GHSR","Q92847",2693
"1536","ABCC2","Q92887",1244
"1537","MAP4K1","Q92918",11184
"1538","BAD","Q92934",572
"1539","USP7","Q93009",7874
"1540","BHMT","Q93088",635
"1541","KISS1R","Q969F8",84634
"1542","HDAC10","Q969S8",83933
"1543","MCHR2","Q969V1",84539
"1544","APH1A","Q96BI3",51107
"1545","SGK3","Q96BR1",23678
"1546","SGK3","Q96BR1",56260
"1547","SGK3","Q96BR1",100533105
"1548","ORAI1","Q96D31",84876
"1549","HDAC11","Q96DB2",79885
"1550","SLC47A1","Q96FL8",55244
"1551","P2RY11","Q96G91",5032
"1552","CPB2","Q96IY4",1361
"1553","L3MBTL3","Q96JM7",84456
"1554","USP47","Q96K76",55031
"1555","EGLN2","Q96KS0",112398
"1556","MRGPRX1","Q96LB2",259249
"1557","SENP8","Q96LD8",123228
"1558","NLRP3","Q96P20",114548
"1559","NEK1","Q96PY6",4750
"1560","CDK15","Q96Q40",65061
"1561","ALKBH3","Q96Q83",221120
"1562","F2RL3","Q96RI0",9002
"1563","TAAR1","Q96RJ0",134864
"1564","CAMKK2","Q96RR4",10645
"1565","SLC22A12","Q96S37",116085
"1566","SCN2A","Q99250",6326
"1567","PSMD1","Q99460",5707
"1568","S1PR3","Q99500",1903
"1569","S1PR3","Q99500",286223
"1570","SORT1","Q99523",6272
"1571","MAP3K14","Q99558",9020
"1572","P2RX4","Q99571",5025
"1573","LPAR4","Q99677",2846
"1574","MAP3K5","Q99683",4217
"1575","MGLL","Q99685",11343
"1576","EPAS1","Q99814",2034
"1577","GABRG3","Q99928",2567
"1578","HSD17B14","Q9BPX1",51171
"1579","WDR77","Q9BQA1",79084
"1580","SENP7","Q9BQF6",57337
"1581","EIF2AK1","Q9BQI3",27102
"1582","MKNK1","Q9BUB5",8569
"1583","TUBB6","Q9BUF5",84617
"1584","RIOK2","Q9BVS4",55781
"1585","KIFC1","Q9BW19",3833
"1586","TSSK1B","Q9BXA7",83942
"1587","GPR174","Q9BXC1",84636
"1588","HDAC8","Q9BY41",55869
"1589","STK33","Q9BYT3",65975
"1590","ADAM33","Q9BZ11",80332
"1591","DCLK3","Q9C098",85443
"1592","GPR88","Q9GZN0",54112
"1593","EGLN1","Q9GZT9",54583
"1594","CTDSP1","Q9GZU7",58190
"1595","SIK2","Q9H0K1",23235
"1596","LPAR5","Q9H1C0",57121
"1597","PORCN","Q9H237",64840
"1598","TNKS2","Q9H2K2",80351
"1599","TUBB1","Q9H4B7",81027
"1600","DCTPP1","Q9H773",79077
"1601","SMYD3","Q9H7B4",64754
"1602","PANK3","Q9H999",79646
"1603","LPAR2","Q9HBW0",9170
"1604","NOD2","Q9HC29",64127
"1605","GPR35","Q9HC97",2859
"1606","NEK6","Q9HC98",10783
"1607","PDE11A","Q9HCR9",50940
"1608","PDE7B","Q9NP56",27115
"1609","LTB4R2","Q9NPC1",56413
"1610","KCNK9","Q9NPC2",51305
"1611","NOX4","Q9NPH5",50507
"1612","BRD7","Q9NPI1",29117
"1613","KMT5A","Q9NQR1",387893
"1614","GPR84","Q9NQS5",53831
"1615","PAK6","Q9NQU5",56924
"1616","PAK6","Q9NQU5",106821730
"1617","CYP26B1","Q9NR63",56603
"1618","TLR8","Q9NR97",51311
"1619","STK36","Q9NRP7",27148
"1620","DUSP22","Q9NRW4",56940
"1621","CYSLTR2","Q9NS75",57105
"1622","SIRT3","Q9NTG7",23410
"1623","TDP1","Q9NUW8",55775
"1624","CACNA2D2","Q9NY47",9254
"1625","TLR7","Q9NYK1",51284
"1626","MAP3K20","Q9NYL2",51776
"1627","TAS2R14","Q9NYV8",50840
"1628","TAS2R14","Q9NYV8",106707243
"1629","CISD1","Q9NZ45",55847
"1630","PLA2G2E","Q9NZK7",30814
"1631","TRPM5","Q9NZQ8",29850
"1632","SENP1","Q9P0U3",29843
"1633","PIM2","Q9P1W9",11040
"1634","STK26","Q9P289",51765
"1635","DNMT3B","Q9UBC3",1789
"1636","SAE1","Q9UBE0",10055
"1637","NLK","Q9UBE8",51701
"1638","PI4KB","Q9UBF8",5298
