"","Symbol","Uniprot","entrez"
"180","GZMB","P10144",3002
"181","RARA","P10276",5914
"182","TXN","P10599",7295
"183","CTSA","P10619",5476
"184","CYP2D6","P10635",1565
"185","CYP2D6","P10635",107987478
"186","CYP2D6","P10635",107987479
"187","MAPT","P10636",4137
"188","ALPG","P10696",251
"189","KIT","P10721",3815
"190","THRA","P10827",7067
"191","THRB","P10828",7068
"192","HSPA5","P11021",3309
"193","PNMT","P11086",5409
"194","MAP2","P11137",4133
"195","HSPA8","P11142",3312
"196","LIPC","P11150",3990
"197","SLC2A2","P11168",6514
"198","SLC2A3","P11169",6515
"199","CHRM1","P11229",1128
"200","BCR","P11274",613
"201","PIM1","P11309",5292
"202","FGFR1","P11362",2260
"203","CYP19A1","P11511",1588
"204","CYP2C9","P11712",1559
"205","ODC1","P11926",4953
"206","IMPDH2","P12268",3615
"207","BMP4","P12644",652
"208","BMP1","P13497",649
"209","CCL2","P13500",6347
"210","ITGA4","P13612",3676
"211","RARG","P13631",5916
"212","ADRB3","P13945",155
"213","HSD17B1","P14061",3292
"214","CTSE","P14091",1510
"215","SELL","P14151",6402
"216","FOLR2","P14207",2350
"217","PRF1","P14222",5551
"218","SI","P14410",6476
"219","DRD2","P14416",1813
"220","AKR1A1","P14550",10327
"221","PLA2G2A","P14555",5320
"222","INSRR","P14616",3645
"223","TYR","P14679",7299
"224","IDE","P14735",3416
"225","DAO","P14920",1610
"226","BRAF","P15056",673
"227","CPA1","P15085",1357
"228","CPB1","P15086",1360
"229","FABP4","P15090",2167
"230","ANPEP","P15144",290
"231","NQO1","P15559",1728
"232","VEGFA","P15692",7422
"233","PHKG2","P15735",5261
"234","ST6GAL1","P15907",6480
"235","NQO2","P16083",4835
"236","SELP","P16109",6403
"237","PFKFB1","P16118",5207
"238","CBR1","P16152",873
"239","PDGFRA","P16234",5156
"240","MGMT","P16455",4255
"241","TSHR","P16473",7253
"242","FER","P16591",2241
"243","PRKCA","P17252",5578
"244","PTPN2","P17706",5771
"245","CHRNB2","P17787",1141
"246","PSMC3","P17980",5702
"247","ALOX12","P18054",239
"248","ADRA2B","P18089",151
"249","SRD5A1","P18405",6715
"250","GABRG2","P18507",2566
"251","ATF1","P18846",466
