"dataset","method","descriptor","testset","true_or_y_scrambled_labels_used","train_test_split","cv_split","accuracy","balanced_accuracy","recall","precision","AU_Prec_Rec_Curve","ROC_AUC","MCC","dataset_readable"
"MCNC","RF","ECFP","CV","1","1","1",0.791666666666667,0.789044289044289,0.757575757575758,0.78125,0.775604744871843,0.850815850815851,0.579667133805243,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","1","1",0.763888888888889,0.765734265734266,0.787878787878788,0.722222222222222,0.747705215382862,0.8003108003108,0.529619939671158,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","1","2",0.722222222222222,0.70889063729347,0.612903225806452,0.703703703703704,0.784399780755074,0.791502753737215,0.427300702521108,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","1","2",0.708333333333333,0.700629425649095,0.645161290322581,0.666666666666667,0.753441196515765,0.728560188827695,0.403006571849678,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","1","3",0.75,0.737012987012987,0.678571428571429,0.678571428571429,0.744441802848409,0.752840909090909,0.474025974025974,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","1","3",0.708333333333333,0.709415584415584,0.714285714285714,0.606060606060606,0.664374906140991,0.758116883116883,0.40978407253675,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","1","4",0.75,0.75,0.75,0.65625,0.696641703784189,0.831168831168831,0.490535421758715,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","1","4",0.75,0.75,0.75,0.65625,0.632827934470701,0.804383116883117,0.490535421758715,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","1","5",0.75,0.75,0.694444444444444,0.78125,0.874504718525655,0.854552469135803,0.503115294937453,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","1","5",0.722222222222222,0.722222222222222,0.694444444444444,0.735294117647059,0.79653671527138,0.784722222222222,0.445131907259726,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","2","1",0.694444444444444,0.685714285714286,0.633333333333333,0.633333333333333,0.566300263673256,0.737301587301587,0.371428571428571,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","2","1",0.638888888888889,0.647619047619048,0.7,0.552631578947368,0.520329817690205,0.685714285714286,0.291558972135382,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","2","2",0.819444444444444,0.819805194805195,0.821428571428571,0.741935483870968,0.847213552565648,0.890422077922078,0.62972087219563,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","2","2",0.805555555555556,0.808441558441558,0.821428571428571,0.71875,0.782286125810541,0.848214285714286,0.60520603983218,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","2","3",0.791666666666667,0.775060144346431,0.689655172413793,0.769230769230769,0.780360405785438,0.804330392943063,0.561726999924549,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","2","3",0.75,0.740176423416199,0.689655172413793,0.689655172413793,0.795616723109093,0.829991980753809,0.480352846832398,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","2","4",0.708333333333333,0.705128205128205,0.666666666666667,0.6875,0.73759082364855,0.751359751359751,0.411376675603721,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","2","4",0.611111111111111,0.615384615384615,0.666666666666667,0.564102564102564,0.647695979224184,0.708624708624709,0.230769230769231,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","2","5",0.75,0.75,0.694444444444444,0.78125,0.832899797042291,0.797839506172839,0.503115294937453,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","2","5",0.75,0.75,0.722222222222222,0.764705882352941,0.835133514123364,0.807098765432099,0.500773395667191,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","3","1",0.666666666666667,0.662004662004662,0.606060606060606,0.645161290322581,0.747733191968671,0.763791763791764,0.326042343636726,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","3","1",0.638888888888889,0.643356643356643,0.696969696969697,0.58974358974359,0.642934187680148,0.694638694638695,0.286713286713287,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","3","2",0.763888888888889,0.72962962962963,0.592592592592593,0.727272727272727,0.68336930215328,0.790946502057613,0.482669345380144,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","3","2",0.763888888888889,0.751851851851852,0.703703703703704,0.678571428571429,0.682373826786693,0.762962962962963,0.500216403386025,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","3","3",0.763888888888889,0.768644747393745,0.793103448275862,0.676470588235294,0.813305332591345,0.849238171611868,0.527849748701313,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","3","3",0.75,0.762630312750601,0.827586206896552,0.648648648648649,0.792453190637964,0.846030473135525,0.515434149727433,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","3","4",0.708333333333333,0.69669551534225,0.612903225806452,0.678571428571429,0.749092337544215,0.748623131392604,0.399569081342405,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","3","4",0.736111111111111,0.728953579858379,0.67741935483871,0.7,0.763794345709527,0.801730920535012,0.459901617287279,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","3","5",0.763888888888889,0.763888888888889,0.638888888888889,0.851851851851852,0.82869037076216,0.810570987654321,0.545086545021785,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","3","5",0.763888888888889,0.763888888888889,0.666666666666667,0.827586206896552,0.84794075525991,0.810185185185185,0.538047198199169,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","4","1",0.625,0.618421052631579,0.5,0.62962962962963,0.63926503845294,0.580495356037152,0.244231699021682,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","4","1",0.527777777777778,0.526315789473684,0.5,0.5,0.59341867315586,0.557275541795666,0.0526315789473684,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","4","2",0.736111111111111,0.714814814814815,0.62962962962963,0.653846153846154,0.773066997563772,0.851851851851852,0.433028792737876,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","4","2",0.791666666666667,0.788888888888889,0.777777777777778,0.7,0.673528081974701,0.822222222222222,0.56736651461358,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","4","3",0.805555555555556,0.797914995990377,0.758620689655172,0.758620689655172,0.829855751366704,0.827987169206095,0.595829991980754,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","4","3",0.736111111111111,0.734161988773055,0.724137931034483,0.65625,0.696436293672692,0.813151563753007,0.462247568685237,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","4","4",0.805555555555556,0.776190476190476,0.6,0.9,0.889525806648239,0.904365079365079,0.608005205298713,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","4","4",0.819444444444444,0.797619047619048,0.666666666666667,0.869565217391304,0.868304786003017,0.900793650793651,0.62938158647343,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","4","5",0.75,0.75,0.638888888888889,0.821428571428571,0.775725990350763,0.812114197530864,0.512822594068371,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","4","5",0.75,0.75,0.75,0.75,0.764127705565716,0.805555555555556,0.5,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","5","1",0.780821917808219,0.778787878787879,0.757575757575758,0.757575757575758,0.782794867605171,0.809848484848485,0.557575757575758,"DILIrank 
 (-vLessConcern)"
