Uniprot,RF_mcnc,RF_mclcnc,RF_all,SVM_mcnc,SVM_mclcnc,SVM_all
P41586,0.00014548553912223068,0.00024098124959438322,0.00015241987365450518,0.011376303247815408,-0.026966159375632445,0.00831115726993225
P25963,0.00024008602649769058,0.00043285352904743235,0.0004913406189746777,0.001205637895693441,-0.13366048080855036,-0.042016650757162745
Q16678,0.0007867543461631673,0.00040358846361194807,0.00032056978730157673,0.006163781742400616,-0.10138705260315573,-0.22810300055134602
Q9HCP0,0.0015569188532168585,0.0019459556848535065,0.0009845478751518923,0.09902940984518493,0.07998688225662767,-0.18585912775876934
P00338,0.000751237995672061,0.0011722166509790634,0.0006573660369357617,0.08167787698346549,0.028383882235992284,-0.05315996628212649
Q9Y263,2.7300144061984587e-05,7.377304203684762e-05,0.0002258541344222812,0.01911960461429119,-0.04268559165014463,-0.018909914664547604
P24557,0.0007066808331488899,0.0002423393262240538,0.0004052411713123645,0.4582026194977742,0.333816294160743,-0.05137480270984243
Q15825,0.0013737224064828248,0.001040151828394311,0.0018782298362947608,0.03425616138897238,0.14244681816897636,-0.07165930297003723
Q07973,0.0003191929218114692,0.000579223709878011,0.0006128007924085513,0.021944951226970155,-0.1500693707335124,0.01953091948146629
P08913,0.0008422657717113889,0.0011811776037192652,0.0012218853978738452,0.04999057225552783,0.1388096744943538,-0.14541890595697748
P16152,0.00033587195124230477,0.00036447381769994734,0.00041566495604286835,-0.03711333865284431,-0.0719967767447625,-0.14298250726837786
P32297,0.0012213248268153302,0.0015084254108428446,0.001535352018354368,-0.3096430564674662,-0.3397821737027712,-0.3745509287864661
P42263,0.0001283175556437714,0.00018345317123769973,0.0002842963754654672,-0.006588058820748541,-0.018386307434018725,-0.07487468502163741
O43598,0.00013290099308600154,2.26708198887791e-05,0.00011750190299932503,-0.03986975657409047,-0.16343324051450528,-0.07135630801316982
Q9UKI8,0.00032826730275709466,0.00014480136722432664,0.0004743405396453825,-0.15252069547718422,-0.14919040418166896,-0.19090038697695538
Q9HBX9,0.00016510115001545987,6.674760693715454e-05,0.00023395152187617784,0.010385125827508817,-0.012137593190995985,0.021634879248909045
Q92753,0.0007034218484916921,0.0006540264643252844,0.0007576481229238746,0.18368606615287936,0.2822668919748821,0.18830521963969676
P14555,0.0005087309487799866,0.0005634340087901223,0.0005176383388783885,0.08076881560207075,0.07478496425643977,0.11488953578640293
Q8N752,0.00021629916067429417,0.0005362497792830998,0.00044297201260751185,0.0028974852702786562,-0.044074660170017765,-0.24062630877339247
P04839,0.00020927363046233528,9.998424933163964e-05,0.0002446963238863252,0.05400138017568844,0.029622850947237125,0.02843193978351722
P39086,0.00018145099182944544,0.00029998862191868035,0.00035187253837010873,0.12252627807277101,0.25713789434499085,0.3194231258572509
P49862,0.00039410666968687775,0.0006861564736534065,0.0006613083306032786,-0.018022016850223737,-0.007154474283613446,-0.1481510412264947
O43603,0.0007045552890680195,0.00046131071180180363,0.0005264059185824201,-0.09118954873840707,-0.06600043530878394,-0.06725126312925414
P09211,0.00026715583961221486,0.00025887424274468587,0.0004365713034987364,-0.017312081812503308,-0.11156601642291947,-0.13203235355652632
Q13510,0.0005298215775632634,0.0007593801584378219,0.0003780208299404219,-0.07970123474982747,-0.01951494620380894,0.027189239649699482
P16118,5.464382343554347e-05,0.00018453449372828965,0.00017898963122494035,0.034762256985871084,0.0376714150349673,-0.005974965014449021
Q9NZ42,0.0008248771290992239,0.0010086349056110488,0.0007862578720242778,0.11173900198896895,0.16604599998248185,0.28126326847303673
P00352,0.0002416700712481405,0.0005038501725783456,0.0006446576935678593,0.08508855549642819,-0.1096767409153124,-0.1555038514589841
Q8IY84,0.0004093358240852207,0.0004016683278067402,0.00045260036360965166,-0.05041169578917104,-0.023095958042547705,0.06578455529019712
